id,Q,A,,,,,,,,,,,,,,
1,Comment ma glycémie est-elle contrôlée ? Dois-je faire quelque chose de plus ?,"La glycémie est le taux de sucre dans le sang. Elle se contrôle par des mesures régulières avec un lecteur de glycémie ou en laboratoire. Pour éviter l'hyperglycémie, il faut suivre un plan d'alimentation adapté, prendre son traitement et faire de l'activité physique. Si vous avez des symptômes d'hyperglycémie, consultez un médecin sans délai.",,,,,,,,,,,,,,
2,"Mon contrôle a été bon jusqu'à présent, mais est-il susceptible de se détériorer avec l'âge, à mesure que mon métabolisme se modifie ?","Le contrôle du diabète peut se détériorer avec l'âge, car le métabolisme se modifie et le risque de complications augmente. Il est donc important de faire un suivi régulier avec votre médecin et d'adapter votre mode de vie et votre traitement si nécessaire. Le diabète de type 1 nécessite une prise en charge particulière chez les enfants.",,,,,,,,,,,,,,
3,Comment puis-je mieux contrôler ma glycémie ?,"Pour mieux contrôler votre glycémie, vous pouvez :- Suivre une alimentation équilibrée et riche en fibres, en privilégiant les aliments à faible indice glycémique .- Faire de l'exercice physique régulièrement, car cela aide à utiliser le glucose comme source d'énergie et à réduire la résistance à l'insuline. - Mesurer votre glycémie plusieurs fois par jour avec un lecteur de glycémie ou un appareil de mesure du glucose interstitiel, pour adapter votre traitement si nécessaire.- Consulter votre médecin traitant pour faire un suivi de votre glycémie en laboratoire tous les 3 mois, avec la mesure de la glycémie à jeun et de l'hémoglobine glyquée .",,,,,,,,,,,,,,
4,"Si je ne prends pas de médicaments, est-ce que je peux garder le contrôle de la maladie en perdant du poids ?","Perdre du poids peut vous aider à contrôler certaines maladies comme le diabète, l'hypertension ou l'obésité. Mais il faut aussi adopter de bons comportements alimentaires et faire de l'activité physique régulièrement. Si vous n'arrivez pas à maigrir malgré vos efforts, consultez votre médecin pour vérifier s'il n'y a pas une cause médicale.",,,,,,,,,,,,,,
5,Pourquoi dois-je prendre de l'insuline ?,"Vous devez prendre de l'insuline si votre pancréas ne produit pas assez d'insuline naturelle ou si vos cellules sont résistantes à l'insuline. L'insuline permet de réguler votre glycémie en facilitant l'entrée du glucose dans les cellules et en inhibant la production de glucose par le foie. Sans insuline, votre glycémie peut augmenter dangereusement et entraîner des complications du diabète.",,,,,,,,,,,,,,
7,Un meilleur régime alimentaire aiderait-il à se passer de l'insuline ?,"Non, un meilleur régime alimentaire ne permet pas de se passer de l'insuline en cas de diabète de type 1 . L'insuline est indispensable pour réguler la glycémie et éviter les complications. En revanche, un meilleur régime alimentaire peut aider à contrôler la glycémie, à prévenir les maladies cardiovasculaires et à atteindre un poids santé . Il s'agit d'une alimentation variée, équilibrée et adaptée aux besoins de chacun. Il faut privilégier les aliments à indice glycémique bas ou moyen, les fibres, les graisses de bonne qualité, les fruits et légumes riches en vitamine C et les produits laitiers allégés . Il faut éviter le sucre ajouté, les acides gras saturés et trans, les viandes grasses et les aliments industriels .",,,,,,,,,,,,,,
8,Pourquoi ma glycémie est-elle en dents de scie ? Et pourquoi ne puis-je pas la contrôler ?,"La glycémie est le taux de sucre dans le sang. Elle varie naturellement au cours de la journée en fonction de l'alimentation, de l'activité physique, du stress, des maladies ou des médicaments. Chez les personnes diabétiques, la glycémie peut être trop élevée  ou trop basse  si le traitement n'est pas adapté ou si l'autosurveillance n'est pas suffisante. L'hyperglycémie peut entraîner des complications à long terme, comme des infections dentaires, et l'hypoglycémie peut provoquer des malaises. Il est donc important de contrôler régulièrement sa glycémie et de suivre les recommandations de son médecin. Le sommeil peut aussi influencer la glycémie, car il régule les fonctions métaboliques. Les troubles du sommeil, comme l'insomnie ou l'apnée du sommeil, peuvent perturber l'équilibre glycémique et augmenter le risque de diabète. Il est conseillé de dormir environ 8 heures par nuit et d'avoir un rythme de vie régulier.",,,,,,,,,,,,,,
9,Peut-on  avoir un REMÈDE définitif contre le diabète?,"Il n'existe pas de remède définitif contre le diabète, mais un ensemble de mesures qui composent le traitement antidiabétique. Ces mesures comprennent des médicaments  et des traitements non médicamenteux   . Certains remèdes de grand-mère peuvent limiter le taux de glycémie, mais ils ne sont pas suffisants pour résoudre un diabète .",,,,,,,,,,,,,,
10,COMMENT RESTER PLUS POSITIVE FACE À MON ÉTAT?,"Pour rester plus positive, vous pouvez :  - Vous poser des questions qui ouvrent de nouvelles perspectives ou possibilités dans votre esprit, comme **""Quelle est le ou les points positifs de cette situation ?""** ou **""Qu’est-ce que j’ai appris de cette situation ?""**  - Créer un environnement positif dans lequel vivre, en passant plus de temps avec des gens qui vous remontent le moral et vous positivent, et en ne laissant entrer que les informations qui vous soutiennent - Être reconnaissant pour ce que vous avez et pour ce que vous êtes, en consacrant quelques minutes par jour à vous sentir reconnaissant pour toutes les choses positives et exceptionnelles de votre vie  - Être actif et prendre soin de votre corps, en faisant du sport, en mangeant sainement et en vous reposant suffisamment  - Commencer votre journée du bon pied, en vous levant avec le sourire et en vous disant des affirmations positives",,,,,,,,,,,,,,
11,J'AIMERAIS AVOIR PLUS D'INFORMATIONS SUR LA NEUROPATHIE diabétique.,"La neuropathie diabétique est une atteinte des nerfs causée par l'hyperglycémie chronique. Elle peut provoquer des symptômes variés selon les nerfs touchés, comme des douleurs, des engourdissements, des troubles digestifs ou urinaires, ou des problèmes cardiaques. Il n'existe pas de traitement spécifique, mais un bon contrôle de la glycémie peut prévenir ou ralentir la progression de la maladie  .",,,,,,,,,,,,,,
12,"AU COURS DES SIX DERNIERS MOIS, J'AI CONSTATÉ QUE J'OUBLIAIS DE PLUS EN PLUS DE CHOSES. CELA PEUT-IL ÊTRE ATTRIBUÉ À MON DIABÈTE ?","L'oubli peut avoir plusieurs causes, dont le diabète. Le diabète peut entraîner des troubles de la mémoire et de la concentration, surtout si la glycémie est mal équilibrée. Le diabète peut aussi favoriser des infections ou des complications vasculaires qui peuvent affecter le cerveau. Il est donc important de consulter votre médecin si vous constatez que vous oubliez de plus en plus de choses.",,,,,,,,,,,,,,
13,JE FAIS ACTUELLEMENT L'OBJET D'UN EXAMEN POUR UNE ÉVENTUELLE APNÉE DU SOMMEIL. CELA POURRAIT-IL ÊTRE LIÉ AU DIABÈTE ?,"L'apnée du sommeil est un trouble qui se caractérise par des arrêts respiratoires répétés pendant le sommeil. Elle peut être liée au diabète de type 2, car l'un des facteurs de risque commun aux deux conditions est le surpoids ou l'obésité. L'apnée du sommeil peut aussi nuire à la gestion du diabète en perturbant le sommeil, la glycémie et l'appétit. Il est donc important de consulter un médecin si vous présentez des symptômes d'apnée du sommeil, comme des ronflements, une somnolence diurne ou des maux de tête.",,,,,,,,,,,,,,
14,Mon taux de glycémie est ÉLEVÉ DEPUIS LONGTEMPS LES EFFETS SECONDAIRES PEUVENT-ILS ÊTRE AMÉLIORÉS À NOUVEAU ?,"Une glycémie élevée depuis longtemps peut entraîner des complications du diabète, comme des atteintes cardiaques, rénales, nerveuses ou oculaires . Il est possible d'améliorer les effets secondaires en contrôlant régulièrement sa glycémie, en adaptant son régime alimentaire et son traitement médicamenteux, et en pratiquant une activité physique régulière  . En cas de symptômes d'hyperglycémie, comme la fatigue, la soif, la bouche sèche ou les urines abondantes  , il faut consulter un médecin ou un diabétologue.",,,,,,,,,,,,,,
15,Y AURA-T-IL UN REMÈDE contre le diabète?,"Le diabète est une maladie chronique qui ne se guérit pas, mais qui se traite. Il existe différents types de diabète, qui nécessitent des traitements adaptés. Le traitement du diabète repose sur l'équilibre alimentaire, l'activité physique et des médicaments par voie orale ou injectable. La recherche d'un remède et la prévention sont porteuses d'espoir .",,,,,,,,,,,,,,
16,EST-CE QUE JE PEUX AVOIR UN IMPLANT QUI FAIT L'INSULINE À MA PLACE ?,"Oui, il existe des implants qui peuvent délivrer de l'insuline à la place du pancréas. Il s'agit de dispositifs médicaux qui contiennent une pompe à insuline. Ces implants sont capables de détecter le taux de glucose dans le sang et de libérer la quantité d'insuline nécessaire   . Certains implants peuvent même produire leur énergie avec l'excès de sucre dans le sang. Ces implants sont encore au stade expérimental et ne sont pas disponibles pour le grand public.",,,,,,,,,,,,,,
17,LA GLANDE PEUT-ELLE RECOMMENCER À FONCTIONNER ?,"La réponse à cette question dépend du type de glande et de la cause de son dysfonctionnement. Il existe plusieurs types de glandes dans le corps humain, comme les glandes endocrines, les glandes salivaires, les glandes thyroïdes, etc. Chaque glande a un rôle spécifique et peut être affectée par des infections, des obstructions, des tumeurs ou des maladies auto-immunes  .  En général, si la cause du dysfonctionnement est traitée à temps et de manière appropriée, la glande peut recommencer à fonctionner normalement. Par exemple, si une glande salivaire est infectée par des bactéries, elle peut être soignée avec des antibiotiques et retrouver sa fonction de production de salive. Si une glande thyroïde est affectée par une maladie auto-immune qui provoque une hyperthyroïdie ou une hypothyroïdie, elle peut être régulée avec des médicaments ou une chirurgie.  Cependant, il existe des cas où la glande ne peut pas se rétablir complètement et nécessite un traitement à vie ou un remplacement. Par exemple, si une glande rénale est endommagée par une infection sévère qui atteint le tissu rénal, elle peut perdre sa capacité de filtrer le sang et d'éliminer les déchets. Dans ce cas, la personne peut avoir besoin d'une dialyse ou d'une greffe de rein.  Donc, la réponse très courte à votre question est : oui, la glande peut recommencer à fonctionner dans certains cas, mais pas dans tous.",,,,,,,,,,,,,,
18,POURQUOI LE STRESS FAIT-IL AUGMENTER MA GLYCÉMIE ?,"Le stress fait augmenter la glycémie car il provoque la libération d'hormones de stress comme l'adrénaline, le cortisol ou le glucagon, qui ont pour effet de stimuler la production de glucose par le foie et de réduire la sensibilité à l'insuline . Le corps se prépare ainsi à faire face aux pressions mentales et physiques.",,,,,,,,,,,,,,
19,UNE POMPE À INSULINE PEUT-ELLE AIDER À MIEUX CONTRÔLER LA GLYCÉMIE QUE LES STYLOS À INSULINE ?,"Une pompe à insuline peut aider à mieux contrôler la glycémie que les stylos à insuline car elle délivre de l'insuline rapide en permanence et s'adapte au mode de vie de la personne. Elle nécessite moins d'injections et offre plus de discrétion . Cependant, elle implique de porter un appareil sur soi en permanence et peut occasionner des réactions allergiques ou des arrachages.",,,,,,,,,,,,,,
20,POURQUOI MES MAINS ET MES PIEDS SONT-ILS SI AFFECTÉS dans le diabète?,"Les mains et les pieds sont si affectés dans le diabète parce que le taux de sucre trop élevé dans le sang endommage les nerfs et les vaisseaux sanguins qui les irriguent. Cela entraîne une perte de sensibilité, une mauvaise cicatrisation des plaies et un risque d'infection ou d'amputation   .",,,,,,,,,,,,,,
21,EST-CE QUE J'ARRÊTERAI UN JOUR DE PRENDRE DE L'INSULINE ET DES COMPRIMÉS EN MÊME TEMPS ?,"Si vous avez un diabète de type 1, vous ne pouvez pas arrêter de prendre de l'insuline car votre pancréas n'en produit plus assez. L'insuline est indispensable pour réguler votre glycémie et éviter les complications du diabète.  Si vous avez un diabète de type 2, vous pouvez éventuellement arrêter de prendre de l'insuline si votre glycémie est bien contrôlée avec des médicaments oraux et des changements d'habitudes de vie. Cependant, le diabète étant une maladie évolutive, il se peut que vous ayez besoin de reprendre l'insuline plus tard.  Dans tous les cas, il ne faut jamais arrêter ou modifier votre traitement sans l'avis de votre médecin  . Il faut aussi surveiller régulièrement votre glycémie et votre hémoglobine glyquée pour adapter votre traitement selon vos besoins.",,,,,,,,,,,,,,
22,QUE DIRE D'UNE POMPE À INSULINE?,Une pompe à insuline est un appareil qui délivre de l'insuline en continu ou sur demande aux personnes diabétiques. Elle peut être implantée ou externe et permet de mieux contrôler la glycémie . C'est une alternative au traitement par injections d'insuline.,,,,,,,,,,,,,,
23,Quels sont les SITES D'INJECTION,"L’injection d’insuline se fait en sous cutanée dans 4 sites possibles: l’abdomen, le bras, la fesse et la cuisse",,,,,,,,,,,,,,
24,Comment puis-je éviter les ECCHYMOSes ?,"Pour éviter les ecchymoses, il faut appliquer de la glace ou un produit froid sur la zone blessée dès que possible pour réduire le flux sanguin et la douleur . Il faut aussi éviter la chaleur, surélever la zone contusionnée et la laisser au repos . Certains produits naturels comme l'arnica, la vitamine K ou le gel d'aloe vera peuvent aussi aider à résorber les ecchymoses  .",,,,,,,,,,,,,,
25,LES RÉSULTATS ÉLEVÉS DE LFT SONT-ILS DUS AU DIABÈTE ?,"Les résultats élevés de LFT  peuvent être dus au diabète, mais pas toujours. Le diabète est une maladie qui se caractérise par un excès de sucre dans le sang ou hyperglycémie. Il peut entraîner des complications au niveau de divers organes, dont le foie. Le diabète peut causer une stéatose hépatique , une hépatite  ou une cirrhose . Ces affections peuvent altérer la fonction hépatique et augmenter les taux de certains enzymes dans le sang, comme les transaminases ou les phosphatases alcalines. Cependant, il existe d'autres causes possibles de résultats élevés de LFT, comme l'alcoolisme, les infections virales, les médicaments, les maladies auto-immunes ou les tumeurs. Il est donc important de consulter un médecin pour établir le diagnostic et le traitement appropriés.",,,,,,,,,,,,,,
26,QUELLES SONT LES IMPLICATIONS À LONG TERME D'UN TAUX DE GLUCOSE ÉLEVÉ?,"un taux de glucose élevé peut endommager plusieurs organes du corps, comme les reins, les yeux, le système nerveux et le cœur . Il peut aussi provoquer des symptômes comme la fatigue, la soif, les urines abondantes et la perte de poids .",,,,,,,,,,,,,,
27,COMMENT PRÉVENIR la PROGRESSION du diabète ?,"Pour prévenir la progression du diabète, il faut adopter un mode de vie sain qui inclut :  - Une alimentation équilibrée, riche en fruits et légumes, pauvre en graisses, en sucres et en sel    - Une activité physique régulière, d'au moins 30 minutes par jour    - Un arrêt du tabac - Un contrôle du poids, de la pression artérielle, du cholestérol et du glucose  - Une réduction du stress et un bon sommeil  Ces mesures peuvent diminuer le risque de développer le diabète de type 2 ou de prédiabète, ou retarder les complications du diabète de type 1 ou 2  .",,,,,,,,,,,,,,
28,"SI LA glycémie EST ÉLEVÉE, QUE DOIS-JE FAIRE ?","si la glycémie est élevée, il faut **surveiller son alimentation**, **limiter les sucres rapides et les graisses saturées**, **consommer des fibres**, **pratiquer un exercice physique régulier** et **contrôler régulièrement sa glycémie** . Il faut également **consulter un médecin** pour adapter le traitement si nécessaire et éviter les complications du diabète .",,,,,,,,,,,,,,
29,"Pourquoi ma glycémie n'est jamais CONSTANTE, TOUJOURS EN HAUSSE ET EN BAISSE?","La glycémie est le taux de sucre dans le sang. Elle varie en fonction de plusieurs facteurs, comme l'alimentation, l'activité physique, le stress, les médicaments, les hormones, etc. La glycémie n'est jamais constante, mais elle doit rester dans une fourchette normale pour éviter les complications.  Quand la glycémie est trop basse , on parle d'**hypoglycémie**. Cela peut provoquer des symptômes comme la fatigue, la faim, les tremblements, la sueur, les palpitations, etc. Il faut alors se resucrer rapidement avec du sucre rapide  et contrôler sa glycémie.  Quand la glycémie est trop haute , on parle d'**hyperglycémie**. Cela peut provoquer des symptômes comme la soif, la sécheresse de la bouche, les urines abondantes, la fatigue, etc. Il faut alors adapter son traitement , boire de l'eau et contrôler sa glycémie.  L'hyperglycémie chronique peut entraîner des complications du diabète à long terme . L'hypoglycémie sévère peut entraîner des convulsions ou une perte de connaissance.  Pour éviter les variations trop importantes de la glycémie, il faut respecter son traitement , avoir une alimentation équilibrée et adaptée à ses besoins, pratiquer une activité physique régulière et modérée, et éviter le stress et l'alcool.  Si vous avez des doutes ou des questions sur votre glycémie ou votre diabète, consultez votre médecin traitant ou votre diabétologue.",,,,,,,,,,,,,,
30,"COMMENT ÉQUILIBRER L'ALIMENTATION, L'ACTIVITÉ ET L'INSULINE, EN PARTICULIER LORSQUE L'ACTIVITÉ PROFESSIONNELLE N'EST PAS CONSTANTE ?","Pour équilibrer l'alimentation, l'activité et l'insuline, il faut :  - Suivre un plan de nutrition varié et équilibré, en respectant les portions et la répartition des aliments contenant des glucides. - Privilégier les aliments ayant un index glycémique et insulinique faibles ou moyens, qui apportent du glucose au sang de façon lente . - Pratiquer une activité physique régulière, qui permet de rétablir en partie la sensibilité de l'organisme à l'insuline. - Adapter la dose d'insuline en fonction des besoins et des variations de l'activité professionnelle, avec l'aide d'un professionnel de la santé.",,,,,,,,,,,,,,
31,QUELLES SONT LES PRINCIPALES AVANCÉES EN MATIÈRE DE SOINS ET QUAND LES PATIENTS POURRONT-ILS EN BÉNÉFICIER ?,"-L’association d’une insuline basale et d’un agoniste des récepteurs du GLP-1 (Glucagon-like peptide-1),-L’association d’inhibiteurs de la dipeptidyl peptidase-4 (iDPP-4 ou gliptines) et d’inhibiteurs des cotransporteurs sodium-glucose de type 2 (SGLT2 ou gliflozines, non encore commercialisées en France),",,,,,,,,,,,,,,
32,QUELS SONT LES EFFETS SECONDAIRES GRAVES DES MÉDICAMENTS POUR LE DIABÈTE ?,"Les effets secondaires graves des médicaments pour le diabète peuvent inclure l'**acidocétose diabétique**  et la **gangrène de Fournier** . Ces effets sont rares mais potentiellement mortels. D'autres effets secondaires possibles sont les **hypoglycémies** , les **vomissements**, les **douleurs musculaires** ou **articulaires**, les **infections respiratoires**, la **diarrhée** et les **maux de dos** .",,,,,,,,,,,,,,
33,QU'EST-CE QUE LA MYOPATHIE ET Y A-T-IL QUELQUE CHOSE QUE JE PUISSE FAIRE POUR Y REMÉDIER ?,"La myopathie est un terme général qui désigne des maladies qui affectent les muscles qui se connectent aux os . Les myopathies peuvent être transmises dans les familles  ou se développer plus tard dans la vie . Les personnes vivant avec une myopathie peuvent avoir des difficultés à effectuer les activités de la vie quotidienne comme se baigner, se peigner les cheveux ou se lever d'une chaise.  Le traitement et le pronostic dépendent du type et de la gravité de la myopathie. Certaines myopathies peuvent être traitées avec des médicaments, de la physiothérapie ou d'autres interventions. D'autres peuvent nécessiter un soutien respiratoire ou une intervention chirurgicale. Il n'existe pas de remède définitif pour la plupart des myopathies.",,,,,,,,,,,,,,
34,EXISTE-T-IL UNE ALTERNATIVE À L'INSULINE ?,"Oui, il existe des alternatives à l'insuline, mais elles ne sont pas toutes efficaces ou sans risque. Parmi les alternatives possibles, on peut citer : - Des médicaments qui diminuent la résistance du sucre à l'insuline ou qui stimulent la sécrétion d'insuline par le pancréas. - La leptine, une hormone qui régule la glycémie par des voies différentes de l'insuline et qui a permis de maintenir en vie des souris diabétiques sans insuline.- Des pompes à insuline qui délivrent de l'insuline en continu et qui permettent d'ajuster la dose selon les besoins.  Cependant, ces alternatives ne sont pas adaptées à tous les types de diabète et peuvent avoir des effets secondaires. Il est donc important de consulter un médecin avant de changer de traitement.",,,,,,,,,,,,,,
35,"PUIS-JE PRENDRE MON ""FOND"" À UN AUTRE MOMENT DE LA JOURNÉE POUR OBTENIR UN MEILLEUR CONTRÔLE ?","Non, il faut respecter le moment de prise journalière.",,,,,,,,,,,,,,
36,EXISTE-T-IL DES MOYENS PLUS SIMPLES DE CONTRÔLER LA GLYCÉMIE ?,"Il existe plusieurs moyens simples de contrôler la glycémie, comme :  - surveiller régulièrement sa glycémie avec un lecteur de glycémie ou un appareil de mesure du glucose interstitiel  ; - choisir des aliments à faible indice glycémique et consommer suffisamment de fibres ; - pratiquer une activité physique adaptée et régulière ; - respecter les doses et les horaires du traitement médicamenteux ou de l'insuline.",,,,,,,,,,,,,,
37,"COMMENT RÉDUIRE RÉELLEMENT MON TAUX D'INSULINE DE FOND - EXERCICE, RÉGIME, PERTE DE POIDS?",Activité physique régulière (30 min par jr) Régime alimentaire adaptée.,,,,,,,,,,,,,,
38,Comment gérer la RÉSISTANCE À L'INSULINE?,"La résistance à l'insuline est un problème de santé qui se produit lorsque le corps ne peut pas utiliser l'insuline efficacement pour faire entrer le glucose dans les cellules. Cela peut entraîner une augmentation de la glycémie et un risque de diabète de type 2. Pour gérer la résistance à l'insuline, il faut adopter un mode de vie sain qui comprend  :  - Un régime alimentaire équilibré et riche en fibres, avec des aliments ayant un indice glycémique faible ou moyen, comme les légumes, les fruits, les grains entiers, les légumineuses et les produits laitiers faibles en gras. - Une activité physique régulière, d'au moins 30 minutes par jour, qui aide à améliorer la sensibilité à l'insuline et à brûler le glucose excédentaire. - Un sommeil suffisant - Le médecin peut également prescrire un médicament comme la metformine, qui réduit la production de glucose par le foie et augmente l'utilisation du glucose par les muscles.",,,,,,,,,,,,,,
39,Quel est la NÉCESSITÉ D'UNE ROTATION PLUS FRÉQUENTE DES SITES?," La rotation des sites d'injection d'insuline permet d'éviter les contusions, les infections et l’inflammation due à l’injection en même site les dépôts de graisse et les variations d'absorption de l'insuline.",,,,,,,,,,,,,,
40,"Y-A-T-IL des INFORMATIONS SUR LES PROGRÈS RÉALISÉS EN MATIÈRE DE GUÉRISON, DE TRANSPLANTATION, ETC?",La transplantation d'organes et de tissus humains est une forme de traitement qui permet de sauver des vies pour plusieurs maladies et traumatismes graves ; - La transplantation pancréas  est souvent le traitement de choix. ,,,,,,,,,,,,,,
